Year,Subject,Class_Number,Start_Date,End_Date,Date_Count,Total_Tasks,Duration_Days
1,Parichay,1,2021-06-19,2021-06-30,15,15,4
1,Parichay,2,2021-06-19,2021-06-30,65,65,10
1,Parichay,3,2021-07-06,2021-07-15,13,13,9
1,Parichay,4,2021-07-24,2021-07-30,14,14,6
1,Parichay,5,2021-08-06,2021-08-14,9,9,8
1,Parichay,6,2021-08-07,2021-08-31,9,9,24
1,Parichay,7,2021-09-05,2021-09-16,10,10,11
1,Parichay,8,2021-09-17,2021-09-30,10,10,13
1,Parichay,9,2021-09-12,2021-10-15,9,9,33
1,Parichay,10,2021-09-27,2021-11-14,10,10,48
1,Parichay,11,2021-10-20,2021-11-30,9,9,41
1,Parichay,12,2021-11-21,2021-12-16,11,11,25
1,Gita,13,2021-12-18,2021-12-26,3,3,8
1,Gita,14,2021-12-30,2022-02-01,8,8,33
1,Gita,15,2022-02-10,2022-02-15,10,10,5
1,Gita,16,2022-02-21,2022-03-01,10,10,8
1,Gita,17,2022-03-02,2022-03-14,9,9,12
1,Gita,18,2022-03-11,2022-03-31,10,10,20
1,Gita,19,2022-04-11,2022-04-17,10,10,6
1,Gita,20,2022-04-12,2022-04-30,10,10,18
1,Gita,21,2022-05-03,2022-05-19,9,9,16
1,Gita,22,2022-05-12,2022-06-02,10,10,21
1,Gita,23,2022-06-07,2022-06-14,9,9,7
1,Gita,24,2022-06-18,2022-06-30,9,9,12
1,Gita,25,2022-06-30,2022-07-14,10,10,14
1,Upanishad,26,2022-01-02,2022-02-04,4,4,33
1,Upanishad,27,2022-01-02,2022-04-14,6,6,102
1,Upanishad,28,2022-01-02,2022-06-26,10,10,175
2,Bhagwat,13,2023-02-20,2023-02-28,14,14,8
2,Bhagwat,14,2023-03-03,2023-03-14,14,14,11
2,Bhagwat,15,2023-03-03,2023-03-30,14,14,27
2,Bhagwat,16,2023-04-04,2023-04-14,14,14,10
2,Bhagwat,17,2023-04-19,2023-04-30,13,13,11
2,Bhagwat,18,2023-04-25,2023-05-07,14,14,12
2,Mahabharat,7,2022-10-17,2022-11-30,12,12,44
2,Mahabharat,8,2022-11-13,2022-12-13,13,13,30
2,Mahabharat,9,2022-11-13,2022-12-29,14,14,80
2,Mahabharat,10,2022-12-01,2023-01-10,14,14,40
2,Mahabharat,11,2023-01-21,2023-01-29,15,15,8
2,Mahabharat,12,2023-02-09,2023-02-14,14,14,5
2,Ramayan,1,2022-06-27,2022-09-01,12,12,66
2,Ramayan,2,2022-07-29,2022-09-15,11,11,48
2,Ramayan,3,2022-07-29,2022-09-30,12,12,63
2,Ramayan,4,2022-08-13,2022-10-12,11,11,60
2,Ramayan,5,2022-08-13,2022-10-12,12,12,60
2,Ramayan,6,2022-08-27,2022-10-31,10,10,65
